Route,Factory,Customer_State,Customer_Region,Total_Shipments,Avg_Lead_Time,Lead_Time_Std,Delayed_Shipments,Total_Sales,Total_Profit,Delay_Frequency_%,Efficiency_Score
Lot's O' Nuts → Alabama,Lot's O' Nuts,Alabama,Gulf,34,1295.2058823529412,253.0703315120563,34,475.61,326.91,100.0,47.11876598465473
Lot's O' Nuts → Alberta,Lot's O' Nuts,Alberta,Pacific,16,1273.875,266.9244275071131,16,204.32,141.42000000000002,100.0,50.01698369565217
Lot's O' Nuts → Arizona,Lot's O' Nuts,Arizona,Pacific,111,1306.1981981981983,253.9011554207598,111,1468.05,1013.15,100.0,45.62524481002741
Lot's O' Nuts → Arkansas,Lot's O' Nuts,Arkansas,Gulf,31,1285.3548387096773,274.5291178712012,31,434.69,299.69,100.0,48.45722300140254
Lot's O' Nuts → British Columbia,Lot's O' Nuts,British Columbia,Pacific,18,1273.7777777777778,307.0827739638931,18,253.4,173.8,100.0,50.03019323671497
Lot's O' Nuts → California,Lot's O' Nuts,California,Pacific,1125,1316.9102222222223,265.3738414776562,1125,15044.9,10401.0,100.0,44.16980676328501
Lot's O' Nuts → Colorado,Lot's O' Nuts,Colorado,Pacific,103,1347.5339805825242,252.65204374108782,103,1447.66,999.0600000000001,100.0,40.008970029548344
Lot's O' Nuts → Connecticut,Lot's O' Nuts,Connecticut,Atlantic,47,1420.5531914893618,249.38575048294325,47,523.59,362.29,100.0,30.087881591119327
Lot's O' Nuts → Delaware,Lot's O' Nuts,Delaware,Atlantic,43,1273.3023255813953,251.91623086934126,43,631.59,436.19,100.0,50.09479271991913
Lot's O' Nuts → District of Columbia,Lot's O' Nuts,District of Columbia,Atlantic,8,1365.875,168.57676293012628,8,126.0,85.3,100.0,37.51698369565217
Lot's O' Nuts → Florida,Lot's O' Nuts,Florida,Gulf,209,1318.6076555023924,283.18378637236333,209,2640.13,1820.73,100.0,43.93917724152278
Lot's O' Nuts → Georgia,Lot's O' Nuts,Georgia,Gulf,110,1329.5636363636363,243.441552515676,110,1474.09,1027.79,100.0,42.45059288537551
Lot's O' Nuts → Idaho,Lot's O' Nuts,Idaho,Pacific,14,1351.357142857143,255.74915809857885,14,146.5,100.9,100.0,39.489518633540364
Lot's O' Nuts → Illinois,Lot's O' Nuts,Illinois,Interior,267,1319.9325842696628,268.3879387446412,267,3539.21,2452.51,100.0,43.759159745969725
Lot's O' Nuts → Indiana,Lot's O' Nuts,Indiana,Interior,90,1366.7888888888888,236.12282532445067,90,1253.78,869.58,100.0,37.39281400966185
Lot's O' Nuts → Iowa,Lot's O' Nuts,Iowa,Interior,16,1479.0,187.5117774078915,16,227.87,157.47,100.0,22.146739130434778
Lot's O' Nuts → Kansas,Lot's O' Nuts,Kansas,Interior,15,1248.8666666666666,216.09616466044093,15,188.93,130.83,100.0,53.41485507246379
Lot's O' Nuts → Kentucky,Lot's O' Nuts,Kentucky,Gulf,77,1325.4025974025974,276.2697604144913,77,1039.13,715.73,100.0,43.01595143986449
Lot's O' Nuts → Louisiana,Lot's O' Nuts,Louisiana,Gulf,24,1302.9583333333333,283.0135162184288,24,283.71000000000004,197.31,100.0,46.065443840579725
Lot's O' Nuts → Maine,Lot's O' Nuts,Maine,Atlantic,6,1213.5,149.66462507887425,6,71.23,49.03,100.0,58.22010869565217
Lot's O' Nuts → Manitoba,Lot's O' Nuts,Manitoba,Interior,2,1454.0,258.8010819142764,2,18.0,12.0,100.0,25.543478260869566
Lot's O' Nuts → Maryland,Lot's O' Nuts,Maryland,Atlantic,60,1370.6666666666667,221.91742751025282,60,812.74,567.54,100.0,36.8659420289855
Lot's O' Nuts → Massachusetts,Lot's O' Nuts,Massachusetts,Atlantic,76,1292.1184210526317,252.38272350302998,76,1003.24,690.54,100.0,47.5382580091533
Lot's O' Nuts → Michigan,Lot's O' Nuts,Michigan,Interior,147,1303.0068027210884,247.1988411718261,147,2103.76,1450.86,100.0,46.05885832593907
Lot's O' Nuts → Minnesota,Lot's O' Nuts,Minnesota,Interior,43,1350.3953488372092,282.6305125858111,43,561.21,388.81,100.0,39.62019716885744
Lot's O' Nuts → Mississippi,Lot's O' Nuts,Mississippi,Gulf,30,1297.6666666666667,286.77749795500586,30,448.43,312.33,100.0,46.78442028985506
Lot's O' Nuts → Missouri,Lot's O' Nuts,Missouri,Interior,36,1364.8333333333333,267.22451769465835,36,514.08,359.08,100.0,37.65851449275364
Lot's O' Nuts → Montana,Lot's O' Nuts,Montana,Pacific,8,1319.25,234.00167887065626,8,92.61,64.01,100.0,43.85190217391305
Lot's O' Nuts → Nebraska,Lot's O' Nuts,Nebraska,Interior,23,1336.1304347826087,237.68108968796182,23,295.28000000000003,205.38,100.0,41.55836483931946
Lot's O' Nuts → Nevada,Lot's O' Nuts,Nevada,Pacific,24,1243.25,239.22233609543338,24,389.21000000000004,268.11,100.0,54.17798913043479
Lot's O' Nuts → New Brunswick,Lot's O' Nuts,New Brunswick,Atlantic,4,1273.25,298.4296399488496,4,97.72,69.72,100.0,50.10190217391304
Lot's O' Nuts → New Hampshire,Lot's O' Nuts,New Hampshire,Atlantic,13,1272.4615384615386,210.88133131559064,13,178.02,123.02,100.0,50.20903010033444
Lot's O' Nuts → New Jersey,Lot's O' Nuts,New Jersey,Atlantic,65,1335.6615384615384,278.66833315582556,65,825.88,567.98,100.0,41.622073578595334
Lot's O' Nuts → New Mexico,Lot's O' Nuts,New Mexico,Pacific,18,1456.9444444444443,258.26308342741896,18,260.71,179.41,100.0,25.143417874396146
Lot's O' Nuts → New York,Lot's O' Nuts,New York,Atlantic,645,1330.5162790697675,249.26357709886216,645,8757.81,6055.01,100.0,42.32115773508593
Lot's O' Nuts → Newfoundland and Labrador,Lot's O' Nuts,Newfoundland and Labrador,Atlantic,6,1216.1666666666667,357.44729215181735,6,162.0,112.5,100.0,57.85778985507246
Lot's O' Nuts → North Carolina,Lot's O' Nuts,North Carolina,Gulf,143,1314.1958041958042,249.30645372632327,143,2045.6100000000001,1417.01,100.0,44.538613560352694
Lot's O' Nuts → North Dakota,Lot's O' Nuts,North Dakota,Interior,5,1638.2,1.6431676725154905,5,57.160000000000004,39.66,100.0,0.5163043478260798
Lot's O' Nuts → Ohio,Lot's O' Nuts,Ohio,Atlantic,262,1334.1145038167938,260.4439516916097,262,3472.7400000000002,2400.24,100.0,41.83226850315302
Lot's O' Nuts → Oklahoma,Lot's O' Nuts,Oklahoma,Interior,41,1282.6829268292684,237.45077795454688,41,569.4,395.0,100.0,48.820254506892894
Lot's O' Nuts → Ontario,Lot's O' Nuts,Ontario,Atlantic,28,1246.2857142857142,261.42187518529664,28,348.32,239.22,100.0,53.76552795031056
Lot's O' Nuts → Oregon,Lot's O' Nuts,Oregon,Pacific,77,1245.1948051948052,269.8786295902309,77,1085.9,751.6,100.0,53.91374929418408
Lot's O' Nuts → Pennsylvania,Lot's O' Nuts,Pennsylvania,Atlantic,331,1315.0634441087614,260.4839648858407,331,4338.55,2993.65,100.0,44.42072770261395
Lot's O' Nuts → Prince Edward Island,Lot's O' Nuts,Prince Edward Island,Atlantic,6,1395.8333333333333,298.67468367216304,6,78.1,54.9,100.0,33.4465579710145
Lot's O' Nuts → Quebec,Lot's O' Nuts,Quebec,Atlantic,24,1334.125,298.5522039413893,24,242.93,165.83,100.0,41.830842391304344
Lot's O' Nuts → Rhode Island,Lot's O' Nuts,Rhode Island,Atlantic,30,1296.9,301.97857311519607,30,353.76,242.86,100.0,46.88858695652173
Lot's O' Nuts → South Carolina,Lot's O' Nuts,South Carolina,Gulf,21,1290.2857142857142,244.66183659433747,21,281.32,194.92000000000002,100.0,47.78726708074535
Lot's O' Nuts → South Dakota,Lot's O' Nuts,South Dakota,Interior,9,1477.2222222222222,322.71960653862425,9,117.59,82.09,100.0,22.388285024154598
Lot's O' Nuts → Tennessee,Lot's O' Nuts,Tennessee,Gulf,109,1390.9633027522937,257.7163214554842,109,1361.56,941.76,100.0,34.10824690865575
Lot's O' Nuts → Texas,Lot's O' Nuts,Texas,Interior,569,1310.4604569420035,260.3438522587886,569,7642.34,5278.34,100.0,45.04613356766257
Lot's O' Nuts → Utah,Lot's O' Nuts,Utah,Pacific,29,1236.0,298.2197176579711,29,393.91,270.11,100.0,55.16304347826087
Lot's O' Nuts → Vermont,Lot's O' Nuts,Vermont,Atlantic,5,1492.4,200.2855461584784,5,103.19,72.39,100.0,20.326086956521728
Lot's O' Nuts → Virginia,Lot's O' Nuts,Virginia,Gulf,109,1229.48623853211,262.0086093679799,109,1538.84,1059.24,100.0,56.04806541683287
Lot's O' Nuts → Washington,Lot's O' Nuts,Washington,Pacific,269,1343.9628252788104,274.9753152303269,269,3492.91,2415.91,100.0,40.49418134798771
Lot's O' Nuts → West Virginia,Lot's O' Nuts,West Virginia,Atlantic,2,1637.0,2.8284271247461903,2,38.72,27.42,100.0,0.6793478260869512
Lot's O' Nuts → Wisconsin,Lot's O' Nuts,Wisconsin,Interior,58,1367.6379310344828,242.37941102097005,58,768.25,531.95,100.0,37.277455022488745
Lot's O' Nuts → Wyoming,Lot's O' Nuts,Wyoming,Pacific,1,1274.0,,1,13.96,9.96,100.0,50.0
Secret Factory → Alabama,Secret Factory,Alabama,Gulf,3,1272.3333333333333,366.50011368802245,3,150.0,75.2,100.0,50.22644927536233
Secret Factory → Alberta,Secret Factory,Alberta,Pacific,2,1274.5,516.8950570473662,2,180.0,90.0,100.0,49.93206521739131
Secret Factory → Arizona,Secret Factory,Arizona,Pacific,5,1127.4,327.5306092566006,5,640.0,320.0,100.0,69.91847826086955
Secret Factory → Arkansas,Secret Factory,Arkansas,Gulf,2,1456.5,259.50818869546293,2,63.75,31.95,100.0,25.203804347826086
Secret Factory → California,Secret Factory,California,Pacific,31,1308.2903225806451,288.2563897584216,31,1238.75,620.55,100.0,45.340988779803645
Secret Factory → Colorado,Secret Factory,Colorado,Pacific,7,1376.5714285714287,178.94306090938275,7,171.25,103.85,100.0,36.063664596273284
Secret Factory → Connecticut,Secret Factory,Connecticut,Atlantic,1,1638.0,,1,2.5,1.3,100.0,0.5434782608695676
Secret Factory → Delaware,Secret Factory,Delaware,Atlantic,1,909.0,,1,60.0,30.0,100.0,99.59239130434783
Secret Factory → Florida,Secret Factory,Florida,Gulf,7,1482.142857142857,196.2603955390462,7,78.75,52.15,100.0,21.71972049689441
Secret Factory → Georgia,Secret Factory,Georgia,Gulf,7,1377.857142857143,347.5103972408252,7,317.5,159.1,100.0,35.8889751552795
Secret Factory → Illinois,Secret Factory,Illinois,Interior,13,1328.6923076923076,360.0334208133519,13,546.25,273.65,100.0,42.56897993311037
Secret Factory → Indiana,Secret Factory,Indiana,Interior,4,1456.25,209.86880822710808,4,21.25,11.05,100.0,25.237771739130434
Secret Factory → Kentucky,Secret Factory,Kentucky,Gulf,2,1637.5,0.7071067811865476,2,46.25,23.25,100.0,0.6114130434782594
Secret Factory → Louisiana,Secret Factory,Louisiana,Gulf,2,908.5,0.7071067811865476,2,11.25,5.85,100.0,99.66032608695652
Secret Factory → Maryland,Secret Factory,Maryland,Atlantic,3,1517.6666666666667,211.02685453120256,3,8.75,4.55,100.0,16.89311594202898
Secret Factory → Massachusetts,Secret Factory,Massachusetts,Atlantic,2,1455.0,260.2152954766495,2,100.0,50.0,100.0,25.407608695652172
Secret Factory → Michigan,Secret Factory,Michigan,Interior,5,1346.2,306.52438728427467,5,82.5,41.7,100.0,40.19021739130434
Secret Factory → Minnesota,Secret Factory,Minnesota,Interior,1,909.0,,1,5.0,2.6,100.0,99.59239130434783
Secret Factory → Mississippi,Secret Factory,Mississippi,Gulf,1,908.0,,1,80.0,40.0,100.0,99.72826086956522
Secret Factory → Nebraska,Secret Factory,Nebraska,Interior,1,906.0,,1,2.5,1.3,100.0,100.0
Secret Factory → Nevada,Secret Factory,Nevada,Pacific,2,1091.0,261.6295090390226,2,202.5,101.3,100.0,74.86413043478262
Secret Factory → New Hampshire,Secret Factory,New Hampshire,Atlantic,1,1641.0,,1,6.25,3.25,100.0,0.13586956521739468
Secret Factory → New Jersey,Secret Factory,New Jersey,Atlantic,2,1274.5,2.1213203435596424,2,6.25,3.25,100.0,49.93206521739131
Secret Factory → New Mexico,Secret Factory,New Mexico,Pacific,2,906.0,2.8284271247461903,2,12.5,6.5,100.0,100.0
